"HOOVER","13TH-FLOOR"
"HOOVER","15TH-FLOOR"
"HOOVER","ARABIC"
"HOOVER","ARTVAULT"
"HOOVER","DOMESTIC"
"HOOVER","MICROFICHE"
"HOOVER","MICROFILM"
"HOOVER","NEWBOOKS"
"HOOVER","NEWSPAPERS"
"HOOVER","NEWS-STKS"
"HOOVER","OVERSIZED"
"HOOVER","PERSIAN"
"HOOVER","READY-REF"
"HOOVER","REFERENCE"
"HOOVER","RESEARCH"
"HOOVER","SERIALS"
"HOOVER","SHADOW"
"HOOVER","STACKS"
"HOOVER","STAFF"
"HOOVER","STAFSHADOW"
"HOOVER","TINY"
"HOOVER","TURKISH"
"HOOVER","VAULT"
"HV-ARCHIVE","READING-RM"
"HV-ARCHIVE","SHADOW"
"HV-ARCHIVE","STACKS"
"HV-ARCHIVE","STAFF"
"HV-ARCHIVE","STAFSHADOW"
"HOPKINS","EXPEDITION"
"HOPKINS","INDEXES"
"HOPKINS","LOCKED-STK"
"HOPKINS","MAPS"
"HOPKINS","MEDIA"
"HOPKINS","REFERENCE"
"HOPKINS","SHADOW"
"HOPKINS","SHELBYSER"
"HOPKINS","SHELBYTITL"
"HOPKINS","STACKS"
"HOPKINS","STAFF"
"HOPKINS","STAFSHADOW"
"HOPKINS","STORAGE"
"HOPKINS","THESES"
"HOPKINS","WORKSTATN"
"LAW","BASEMENT"
"LAW","CROTHERS"
"LAW","FACULTY"
"LAW","GOLDSTAR"
"LAW","LAW-ARCHIV"
"LAW","LAW-REVIEW"
"LAW","MANNING"
"LAW","MICROTEXT"
"LAW","OPEN-RES"
"LAW","PERM-RES"
"LAW","REF-DESK"
"LAW","REFERENCE"
"LAW","SHADOW"
"LAW","STACKS-1"
"LAW","STACKS-2"
"LAW","STACKS-3"
"LAW","STAFF"
"LAW","STAFSHADOW"
"LAW","TECH-SERV"
"LAW","VROOMAN"
"MATH-CS","COLL-WORKS"
"MATH-CS","LOCKED-STK"
"MATH-CS","MEDIA"
"MATH-CS","MICROTEXT"
"MATH-CS","PERM-RES"
"MATH-CS","REFERENCE"
"MATH-CS","SHADOW"
"MATH-CS","SHELBYSER"
"MATH-CS","SHELBYTITL"
"MATH-CS","STACKS"
"MATH-CS","STAFF"
"MATH-CS","STAFSHADOW"
"MATH-CS","STORBYTITL"
"MATH-CS","TECH-RPTS"
"MATH-CS","THESES"
"MATH-CS","UNDERGRAD"
"MATH-CS","WORKSTATN"
"MEYER","1ST-FLOOR"
"MEYER","2ND-FLOOR"
"MEYER","CDL-2NDFL"
"MEYER","SHADOW"
"MEYER","STAFF"
"MEYER","STAFSHADOW"
"MUSIC","BOX-COLL"
"MUSIC","CCRMA"
"MUSIC","LOCKED-STK"
"MUSIC","MICROTEXT"
"MUSIC","FOLIO"
"MUSIC","PERM-RES"
"MUSIC","FOLIO-FLAT"
"MUSIC","RECORDINGS"
"MUSIC","REFERENCE"
"MUSIC","SCORES"
"MUSIC","SHADOW"
"MUSIC","STACKS"
"MUSIC","STAFSHADOW"
"MUSIC","TECH-SERV"
"PHYSICS","INDEXES"
"PHYSICS","MEDIA"
"PHYSICS","PERM-RES"
"PHYSICS","READY-REF"
"PHYSICS","REFERENCE"
"PHYSICS","SHADOW"
"PHYSICS","SHELBYSER"
"PHYSICS","SHELBYTITL"
"PHYSICS","STACKS"
"PHYSICS","STAFF"
"PHYSICS","STAFSHADOW"
"PHYSICS","TECH-RPTS"
"PHYSICS","THESES"
"PHYSICS","WORKSTATN"
"SAL","FED-DOCS"
"SAL","INTL-DOCS"
"SAL","SAL-SERG"
"SAL","SHADOW"
"SAL","STACKS"
"SAL","STAFF"
"SAL","STAFSHADOW"
"SAL","TECH-RPTS"
"SAL","UNCAT"
