558233,YANKEE,,Excld,,
I-20068280,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,43
I-20068279,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,28
I-20068278,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,26
I-20068277,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,31
I-20068276,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,31
I-20068271,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,25
I-20068270,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,29
I-20068269,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,28
I-20068268,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,36
I-10236239,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,11
I-10236238,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,27
I-10236237,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,31
I-10236236,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,22
I-10236235,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,28
I-10236244,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,6
I-20068282,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,3
I-10236248,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,10
I-20068283,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,3
I-10236246,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,5
I-40064676,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,1
I-20068287,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,20
I-20068286,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,14
I-20068285,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,3
I-10236240,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,4
I-20068290,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,1
I-20068288,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,1
I-10236243,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,6
I-20068284,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,6
I-10236251,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,8
I-10236252,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,2
I-10236245,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,22
I-40064675,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,1
I-10236253,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,1
I-10236241,COUTTS,2013-07-30 00:00:00,Rdy2Rcv,2013-07-30 00:00:00,2
34683,CASALI,,Excld,,
507492,AMALIV,2013-07-19 00:00:00,Rdy2Rcv,2013-07-22 00:00:00,15
507491,AMALIV,2013-07-19 00:00:00,Rdy2Rcv,2013-07-22 00:00:00,11
507490,AMALIV,2013-07-19 00:00:00,Rdy2Rcv,2013-07-22 00:00:00,20
50656,CASALI,,Excld,,
50637,CASALI,,Excld,,
561623,YANKEE,,Excld,,
353713,HARRAS,,Excld,,
321488,HARRAS,,Excld,,
