"LOCN",98,"UNDERGRAD","","0",""
"LOCN",99,"US-LOCAL","","0",""
"LOCN",100,"US-STATE","","0",""
"LOCN",101,"VARIES","","0",""
"LOCN",102,"REPAIR","","0",""
"LOCN",103,"WITHDRAWN","","1",""
"LOCN",104,"3RDFLR-REF","","0",""
"LOCN",105,"15TH-FLOOR","","0",""
"LOCN",106,"TINY","","0",""
"LOCN",107,"ARTVAULT","","0",""
"LOCN",108,"MEZZANINE","","0",""
"LOCN",109,"ARABIC","","0",""
"LOCN",110,"AUX-STACKS","","0",""
"LOCN",111,"BASEMENT","","0",""
"LOCN",112,"BIB-INDEX","","0",""
"LOCN",113,"BIBLIO-REF","","0",""
"LOCN",114,"COMPACT","","0",""
"LOCN",115,"COURSE-RES","","0",""
"LOCN",116,"CROTHERS","","0",""
"LOCN",117,"DOMESTIC","","0",""
"LOCN",118,"FACULTY","","0",""
"LOCN",119,"GOLDSTAR","","0",""
"LOCN",120,"LAW-RESV","","0",""
"LOCN",121,"LAW-REVIEW","","0",""
"LOCN",122,"LCK-STOR","","0",""
"LOCN",123,"MANNING","","1",""
"LOCN",124,"MICROFICHE","","0",""
"LOCN",125,"MICROFILM","","0",""
"LOCN",126,"NEWS-STKS","","0",""
"LOCN",127,"OVERSIZED","","0",""
"LOCN",128,"PERSIAN","","0",""
"LOCN",129,"PHOTO-PERM","","0",""
"LOCN",130,"READING-RM","","0",""
"LOCN",131,"REF-DESK","","0",""
"LOCN",132,"RESEARCH","","0",""
"LOCN",133,"BASEMNT","","0",""
"LOCN",134,"STACKS-2","","0",""
"LOCN",135,"STACKS-3","","0",""
"LOCN",136,"SUPERSEDED","","0",""
"LOCN",137,"TECH-RPTS","","0",""
"LOCN",138,"TURKISH","","0",""
"LOCN",139,"VAULT","","0",""
"LOCN",140,"VROOMAN","","0",""
"LOCN",141,"ART-RESV","","0",""
"LOCN",142,"BIO-RESV","","0",""
"LOCN",143,"CHEM-RESV","","0",""
"LOCN",144,"BRAN-RESV","","0",""
"LOCN",145,"EDU-RESV","","0",""
"LOCN",146,"ENG-RESV","","0",""
"LOCN",147,"MATH-RESV","","0",""
"LOCN",148,"MEYER-RESV","","0",""
"LOCN",149,"MUSIC-RESV","","0",""
"LOCN",150,"PHYS-RESV","","0",""
"LOCN",151,"TANN-RESV","","0",""
"LOCN",152,"FRECOT","","0",""
"LOCN",153,"OPEN-RES","","0",""
"LOCN",154,"MAP-STOR","","0",""
"LOCN",155,"CPM-HOLDS","","0",""
"LOCN",156,"LOCK-HOLDS","","0",""
"LOCN",157,"TEMP-LL","","0",""
"LOCN",158,"EARTH-RESV","","0",""
"LOCN",159,"PGDFROMSAL","","0",""
"LOCN",160,"FLOOD-ITEM","","0",""
"LOCN",161,"FOLIO","","0",""
"LOCN",162,"SEE-LOAN","","0",""
"LOCN",163,"INSTRUCTOR","","1",""
"LOCN",164,"COMP-ROOM","","0",""
"LOCN",165,"REF-SERIAL","","0",""
"LOCN",166,"LANG-LAB","","0",""
"LOCN",167,"CDL-2NDFL","","0",""
"LOCN",168,"TECH-PROC","","0",""
"LOCN",169,"BILLED-OD","","0",""
"LOCN",170,"PUB-TECH","","0",""
"LOCN",171,"RESV-URL","","1",""
"LOCN",172,"ILB-LOAN","","0",""
"LOCN",173,"BIO-TEMP","","0",""
"LOCN",174,"ASK@LANE","","0",""
"LOCN",175,"SEL-NOTIFY","","1",""
"LOCN",176,"LEWIS-COLL","","0",""
"LOCN",177,"SUL-BIND","","0",""
"LOCN",178,"SEE-ARCHIV","","0",""
"LOCN",179,"SEE-EASTA","","0",""
"LOCN",180,"EDI","","1",""
"LOCN",181,"CDPSHADOW","","1",""
"LOCN",182,"TECHSHADOW","","1",""
"LOCN",183,"STAFSHADOW","","1",""
"LOCN",184,"SHADOW","","1",""
"LOCN",185,"LAW-BIND","","0",""
"LOCN",186,"HOOV-RESV","","0",""
"LOCN",187,"B&F-HOLD","","0",""
"LOCN",188,"FED-DOCS","","0",""
"LOCN",189,"MISS-INPRO","","1",""
"LOCN",190,"SSRC-FICHE","","0",""
"LOCN",191,"SAL-RETURN","","0",""
"LOCN",192,"CALIF-DOCS","","0",""
"LOCN",193,"BRIT-DOCS","","0",""
"LOCN",194,"LCKBYTITL","","0",""
"LOCN",195,"LOCKED-DIS","","0",""
"LOCN",196,"LOST","","1",""
"LOCN",197,"SSRC-FIC-S","","1",""
"LOCN",198,"SSRC-SLS","","1",""
"LOCN",199,"MAPCASES-S","","1",""
"LOCN",200,"MAPFILE-S","","1",""
"LOCN",201,"CURRENTPER","","0",""
"LOCN",202,"MEDIA-MTXT","","0",""
"LOCN",203,"BENDER","","0",""
"LOCN",204,"HASRC","","0",""
"LOCN",205,"IC","","0",""
"LOCN",206,"SSRC","","0",""
"LOCN",207,"IC-ATLAS","","0",""
"LOCN",208,"LANG-RESV","","0",""
"LOCN",209,"IC-DESK","","0",""
"LOCN",210,"IC-RREF","","0",""
"LOCN",211,"IC-STATS","","0",""
